run_id=20260128-083921, layer=12, residual=0.000151s, block=0.002132s
run_id=20260128-083921, layer=12, residual=0.000176s, block=0.002091s
run_id=20260128-083921, layer=12, residual=0.000147s, block=0.002099s
run_id=20260128-083921, layer=12, residual=0.000141s, block=0.002091s
run_id=20260128-083921, layer=12, residual=0.000140s, block=0.002087s
run_id=20260128-083921, layer=12, residual=0.000136s, block=0.002089s
run_id=20260128-083921, layer=12, residual=0.000140s, block=0.002086s
run_id=20260128-083921, layer=12, residual=0.000135s, block=0.002122s
run_id=20260128-083921, layer=12, residual=0.000143s, block=0.002122s
run_id=20260128-083921, layer=12, residual=0.000143s, block=0.002092s
run_id=20260128-083921, layer=12, residual=0.000141s, block=0.002098s
run_id=20260128-083921, layer=12, residual=0.000174s, block=0.002122s
run_id=20260128-083921, layer=12, residual=0.000148s, block=0.002120s
run_id=20260128-083921, layer=12, residual=0.000143s, block=0.002083s
run_id=20260128-083921, layer=12, residual=0.000146s, block=0.002121s
run_id=20260128-083921, layer=12, residual=0.000141s, block=0.002091s
run_id=20260128-083921, layer=12, residual=0.000156s, block=0.002120s
run_id=20260128-083921, layer=12, residual=0.000142s, block=0.002091s
run_id=20260128-083922, layer=12, residual=0.000147s, block=0.002105s
run_id=20260128-083922, layer=12, residual=0.000141s, block=0.002099s
run_id=20260128-083922, layer=12, residual=0.000145s, block=0.002101s
run_id=20260128-083922, layer=12, residual=0.000146s, block=0.002091s
run_id=20260128-083922, layer=12, residual=0.000142s, block=0.002097s
run_id=20260128-083922, layer=12, residual=0.000136s, block=0.002122s
run_id=20260128-083922, layer=12, residual=0.000143s, block=0.002121s
run_id=20260128-083922, layer=12, residual=0.000148s, block=0.002088s
run_id=20260128-083922, layer=12, residual=0.000135s, block=0.002096s
run_id=20260128-083922, layer=12, residual=0.000139s, block=0.002131s
run_id=20260128-083922, layer=12, residual=0.000143s, block=0.002115s
run_id=20260128-083922, layer=12, residual=0.000145s, block=0.002122s
run_id=20260128-083922, layer=12, residual=0.000140s, block=0.002092s
run_id=20260128-083922, layer=12, residual=0.000178s, block=0.002109s
run_id=20260128-083922, layer=12, residual=0.000142s, block=0.002096s
run_id=20260128-083922, layer=12, residual=0.000140s, block=0.002081s
run_id=20260128-083922, layer=12, residual=0.000169s, block=0.002121s
run_id=20260128-083922, layer=12, residual=0.000170s, block=0.002127s
run_id=20260128-083922, layer=12, residual=0.000141s, block=0.002091s
run_id=20260128-083923, layer=12, residual=0.000141s, block=0.002085s
run_id=20260128-083923, layer=12, residual=0.000141s, block=0.002099s
run_id=20260128-083923, layer=12, residual=0.000141s, block=0.002127s
run_id=20260128-083923, layer=12, residual=0.000141s, block=0.002116s
run_id=20260128-083923, layer=12, residual=0.000145s, block=0.002086s
run_id=20260128-083923, layer=12, residual=0.000146s, block=0.002094s
run_id=20260128-083923, layer=12, residual=0.000142s, block=0.002092s
run_id=20260128-083923, layer=12, residual=0.000140s, block=0.002077s
run_id=20260128-083923, layer=12, residual=0.000135s, block=0.002090s
run_id=20260128-083923, layer=12, residual=0.000142s, block=0.002080s
run_id=20260128-083923, layer=12, residual=0.000141s, block=0.002131s
run_id=20260128-083923, layer=12, residual=0.000143s, block=0.002109s
run_id=20260128-083923, layer=12, residual=0.000173s, block=0.002091s
run_id=20260128-083923, layer=12, residual=0.000139s, block=0.002094s
run_id=20260128-083923, layer=12, residual=0.000153s, block=0.002126s
run_id=20260128-083923, layer=12, residual=0.000136s, block=0.002087s
run_id=20260128-083923, layer=12, residual=0.000141s, block=0.002083s
run_id=20260128-083923, layer=12, residual=0.000140s, block=0.002097s
run_id=20260128-083924, layer=12, residual=0.000155s, block=0.002132s
