
run_id=20260128-084313, layer=12, residual=0.000030s, block=0.002125s
run_id=20260128-084313, layer=12, residual=0.000032s, block=0.002121s
run_id=20260128-084313, layer=12, residual=0.000030s, block=0.002148s
run_id=20260128-084313, layer=12, residual=0.000029s, block=0.002143s
run_id=20260128-084313, layer=12, residual=0.000031s, block=0.002125s
run_id=20260128-084313, layer=12, residual=0.000028s, block=0.002113s
run_id=20260128-084314, layer=12, residual=0.000030s, block=0.002113s
run_id=20260128-084314, layer=12, residual=0.000031s, block=0.002107s
run_id=20260128-084314, layer=12, residual=0.000027s, block=0.002107s
run_id=20260128-084314, layer=12, residual=0.000028s, block=0.002134s
run_id=20260128-084314, layer=12, residual=0.000032s, block=0.002143s
run_id=20260128-084314, layer=12, residual=0.000029s, block=0.002131s
run_id=20260128-084314, layer=12, residual=0.000034s, block=0.002129s
run_id=20260128-084314, layer=12, residual=0.000031s, block=0.002133s
run_id=20260128-084314, layer=12, residual=0.000030s, block=0.002098s
run_id=20260128-084314, layer=12, residual=0.000030s, block=0.002130s
run_id=20260128-084314, layer=12, residual=0.000035s, block=0.002124s
run_id=20260128-084314, layer=12, residual=0.000032s, block=0.002139s
run_id=20260128-084314, layer=12, residual=0.000028s, block=0.002107s
run_id=20260128-084314, layer=12, residual=0.000028s, block=0.002134s
run_id=20260128-084314, layer=12, residual=0.000031s, block=0.002113s
run_id=20260128-084314, layer=12, residual=0.000031s, block=0.002135s
run_id=20260128-084315, layer=12, residual=0.000032s, block=0.002104s
run_id=20260128-084315, layer=12, residual=0.000029s, block=0.002125s
run_id=20260128-084315, layer=12, residual=0.000029s, block=0.002102s
run_id=20260128-084315, layer=12, residual=0.000033s, block=0.002132s
run_id=20260128-084315, layer=12, residual=0.000026s, block=0.002108s
run_id=20260128-084315, layer=12, residual=0.000031s, block=0.002136s
run_id=20260128-084315, layer=12, residual=0.000034s, block=0.002107s
run_id=20260128-084315, layer=12, residual=0.000031s, block=0.002132s
run_id=20260128-084315, layer=12, residual=0.000027s, block=0.002112s
run_id=20260128-084315, layer=12, residual=0.000036s, block=0.002147s
run_id=20260128-084315, layer=12, residual=0.000026s, block=0.002107s
run_id=20260128-084315, layer=12, residual=0.000030s, block=0.002135s
run_id=20260128-084315, layer=12, residual=0.000029s, block=0.002105s
run_id=20260128-084315, layer=12, residual=0.000028s, block=0.002109s
run_id=20260128-084315, layer=12, residual=0.000031s, block=0.002099s
run_id=20260128-084316, layer=12, residual=0.000030s, block=0.002105s
run_id=20260128-084316, layer=12, residual=0.000032s, block=0.002104s
run_id=20260128-084316, layer=12, residual=0.000031s, block=0.002132s
run_id=20260128-084316, layer=12, residual=0.000030s, block=0.002115s
run_id=20260128-084316, layer=12, residual=0.000030s, block=0.002127s
run_id=20260128-084316, layer=12, residual=0.000030s, block=0.002114s
run_id=20260128-084316, layer=12, residual=0.000032s, block=0.002134s
run_id=20260128-084316, layer=12, residual=0.000033s, block=0.002105s
run_id=20260128-084316, layer=12, residual=0.000029s, block=0.002125s
run_id=20260128-084316, layer=12, residual=0.000029s, block=0.002109s
run_id=20260128-084316, layer=12, residual=0.000029s, block=0.002127s
run_id=20260128-084316, layer=12, residual=0.000029s, block=0.002112s
run_id=20260128-084316, layer=12, residual=0.000029s, block=0.002128s
run_id=20260128-084316, layer=12, residual=0.000029s, block=0.002112s
run_id=20260128-084316, layer=12, residual=0.000029s, block=0.002128s
run_id=20260128-084317, layer=12, residual=0.000033s, block=0.002104s
run_id=20260128-084317, layer=12, residual=0.000027s, block=0.002136s
run_id=20260128-084317, layer=12, residual=0.000026s, block=0.002112s
