run_id=20260128-084439, layer=12, residual=0.000148s, block=0.002134s
run_id=20260128-084439, layer=12, residual=0.000141s, block=0.002105s
run_id=20260128-084439, layer=12, residual=0.000149s, block=0.002103s
run_id=20260128-084439, layer=12, residual=0.000141s, block=0.002094s
run_id=20260128-084439, layer=12, residual=0.000138s, block=0.002110s
run_id=20260128-084439, layer=12, residual=0.000140s, block=0.002087s
run_id=20260128-084439, layer=12, residual=0.000142s, block=0.002088s
run_id=20260128-084439, layer=12, residual=0.000149s, block=0.002090s
run_id=20260128-084439, layer=12, residual=0.000141s, block=0.002118s
run_id=20260128-084439, layer=12, residual=0.000162s, block=0.002092s
run_id=20260128-084439, layer=12, residual=0.000156s, block=0.002101s
run_id=20260128-084439, layer=12, residual=0.000142s, block=0.002100s
run_id=20260128-084440, layer=12, residual=0.000140s, block=0.002116s
run_id=20260128-084440, layer=12, residual=0.000148s, block=0.002079s
run_id=20260128-084440, layer=12, residual=0.000141s, block=0.002085s
run_id=20260128-084440, layer=12, residual=0.000140s, block=0.002082s
run_id=20260128-084440, layer=12, residual=0.000138s, block=0.002115s
run_id=20260128-084440, layer=12, residual=0.000138s, block=0.002085s
run_id=20260128-084440, layer=12, residual=0.000141s, block=0.002110s
run_id=20260128-084440, layer=12, residual=0.000140s, block=0.002091s
run_id=20260128-084440, layer=12, residual=0.000139s, block=0.002105s
run_id=20260128-084440, layer=12, residual=0.000144s, block=0.002087s
run_id=20260128-084440, layer=12, residual=0.000145s, block=0.002094s
run_id=20260128-084440, layer=12, residual=0.000145s, block=0.002099s
run_id=20260128-084440, layer=12, residual=0.000138s, block=0.002111s
run_id=20260128-084440, layer=12, residual=0.000153s, block=0.002083s
run_id=20260128-084440, layer=12, residual=0.000151s, block=0.002104s
run_id=20260128-084440, layer=12, residual=0.000147s, block=0.002132s
run_id=20260128-084440, layer=12, residual=0.000136s, block=0.002109s
run_id=20260128-084440, layer=12, residual=0.000200s, block=0.002132s
run_id=20260128-084440, layer=12, residual=0.000144s, block=0.002097s
run_id=20260128-084441, layer=12, residual=0.000153s, block=0.002127s
run_id=20260128-084441, layer=12, residual=0.000150s, block=0.002097s
run_id=20260128-084441, layer=12, residual=0.000140s, block=0.002077s
run_id=20260128-084441, layer=12, residual=0.000144s, block=0.002097s
run_id=20260128-084441, layer=12, residual=0.000183s, block=0.002123s
run_id=20260128-084441, layer=12, residual=0.000156s, block=0.002087s
run_id=20260128-084441, layer=12, residual=0.000141s, block=0.002087s
run_id=20260128-084441, layer=12, residual=0.000139s, block=0.002096s
run_id=20260128-084441, layer=12, residual=0.000186s, block=0.002129s
run_id=20260128-084441, layer=12, residual=0.000141s, block=0.002117s
run_id=20260128-084441, layer=12, residual=0.000141s, block=0.002085s
run_id=20260128-084441, layer=12, residual=0.000154s, block=0.002089s
run_id=20260128-084441, layer=12, residual=0.000140s, block=0.002080s
run_id=20260128-084441, layer=12, residual=0.000153s, block=0.002090s
run_id=20260128-084441, layer=12, residual=0.000160s, block=0.002092s
run_id=20260128-084441, layer=12, residual=0.000143s, block=0.002109s
run_id=20260128-084441, layer=12, residual=0.000175s, block=0.002138s
run_id=20260128-084441, layer=12, residual=0.000145s, block=0.002117s
run_id=20260128-084442, layer=12, residual=0.000140s, block=0.002088s
run_id=20260128-084442, layer=12, residual=0.000141s, block=0.002095s
run_id=20260128-084442, layer=12, residual=0.000141s, block=0.002120s
run_id=20260128-084442, layer=12, residual=0.000139s, block=0.002115s
run_id=20260128-084442, layer=12, residual=0.000144s, block=0.002090s
run_id=20260128-084442, layer=12, residual=0.000143s, block=0.002098s
run_id=20260128-084442, layer=12, residual=0.000154s, block=0.002132s
